,canonical_smiles
5792,Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C5=CCCC5)cc23)cc1Cl
2318,OC(=O)C1=C(C(=O)c2c(O)cc(O)cc2O1)c3ccc(O)cc3
911,CN(C)c1cc2c(Nc3cccc(C)c3)ncnc2cn1
997,Brc1cccc(Nc2ncnc3cc(OCCCn4ccnc4)c(NC(=O)C=C)cc23)c1
2566,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1
2626,Brc1cccc(Nc2ncnc3cnc(CC(=O)\C=C\C(=O)NCCCn4ccnc4)cc23)c1
6483,COc1ccccc1Nc2ncc(Br)c(Nc3cccc(NC(=O)C=C)c3)n2
3120,COc1cc2nccc(Nc3cccc(c3)C#C)c2cc1OC
6282,COCC(=O)NCCOc1cc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2cc1NC(=O)C=C
463,CN(CC(O)CO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1
822,CC(=O)NCCNCc1ccc(cc1)c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2
4161,OCCn1ccc2ncnc(Nc3ccc(Oc4cccc5NC(=O)Cc45)c(Cl)c3)c12
5971,C[C@@H]1COC(=N1)Nc2ccc3ncnc(Nc4ccc(OCc5nccs5)c(Cl)c4)c3c2
5755,Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)[C@@H]5COC(=O)N5)cc23)cc1Cl
826,NCc1ccc(cc1)c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2
1316,CN(C)CCn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc12
589,CCO.Nc1ccc2sc3c(Nc4ccccc4)ncnc3c2c1
6669,CC1(C)OOC2(CCC(CC2)C(=O)Nc3ccc4ncnc(Nc5cccc(Cl)c5)c4c3)OO1
6278,CC(=O)CNCCOc1cc2ncnc(Nc3cc(Cl)c(Br)cc3F)c2cc1NC(=O)C=C
890,CNc1cc2c(Nc3cccc(c3)C(F)(F)F)ncnc2cn1
6694,Brc1cccc(Nc2ncnc3ccc(NC(=S)NCc4ccccc4)cc23)c1
1007,Cc1cccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C=C)cc23)c1
2761,COc1cc(O)c2C(=O)Oc3cc(O)cc(C)c3c2c1
5015,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1NC(=O)\C(=C/CN(C)C)\F
5260,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(OCc4ccccn4)cc3)ncnc2cc1O[C@H]5CCOC5
1823,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN4CCC[C@H]4C(=O)N
4088,COc1cc(ccc1Nc2ncc3CN(C(=O)N(c4cccc(NC(=O)C=C)c4)c3n2)c5ccc(cc5)c6ccccc6)N7CCN(C)CC7
6777,CN1CCN(CC1)c2ccc(Nc3ncc4CN(C(=O)N([C@H]5CCN(C5)C(=O)C6CCCC6)c4n3)c7ccccc7Cl)cc2C
1899,Cl.CCOc1cc2ncnc(Nc3cccc(F)c3)c2cc1OCC
5908,OC[C@@H](Nc1ncnc2oc(cc12)c3ccc(O)cc3)c4ccccc4
71,CN1CCN(CC1)C(=O)c2cc(C)c(\C=C\3/C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c34)[nH]2
5236,CCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1NC(=O)\C=C\CN4CCCCC4
4554,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCC5(COC5)C4
5911,COc1ccc(cc1)c2oc3ncnc(N[C@H](C)c4cccc(F)c4)c3c2
5566,COc1cc(CO)ccc1c2cc3c(Nc4cccc(c4)C#C)ncnc3s2
4236,CC(C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c12)S(=O)(=O)C
4688,O=C(\C=C\CN1CCOCC1)N2CCOc3cc4ncnc(Nc5cccc(c5)C#C)c4cc23
6778,CN1CCN(CC1)c2ccc(Nc3ncc4CN(C(=O)N([C@H]5CCN(C5)C(=O)C6CCCCC6)c4n3)c7ccccc7Cl)cc2C
5035,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C(=C/CN4CCCCC4)\F
2554,CS(=O)(=O)CCNCc1nc(cs1)c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2
4423,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCNCCN
1055,Cc1cccc(Nc2ncnc3cc(NC(=O)C=C)ccc23)c1
3859,COc1ccc(cc1)c2cc3c(N[C@H](C)c4ccccc4)ncnc3[nH]2
6738,Cc1n[nH]c2ccc(cc12)c3cc(N[C@@H](CO)c4ccccc4)cnc3c5cc(Cl)ccc5O
2018,Cc1cncc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCC(N)CC6)c45)ccc23)c1
6696,Cc1cccc(Nc2ncnc3ccc(NC(=O)C=C)cc23)c1F
2759,COc1cc(O)c(C(=O)O)c(c1)c2cc(O)c(O)cc2C
2585,Brc1cccc(Cc2ncnc3cc(OCCCn4ccnc4)c(NC(=O)C=C)cc23)c1
89,Brc1cccc(Nc2ncnc3ccc(N\N=N\Cc4ccccc4)cc23)c1
5544,C[C@@H](Nc1ncnc2sc(cc12)c3ccc(cc3)C(=O)NCCN(C)C)c4ccccc4
3240,OC[C@@H](Nc1ncnc2oc(c3ccccc3)c(c4cccc(NC(=O)C=C)c4)c12)c5ccccc5
5249,COCCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C4CC4
154,CCOC(=O)\C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
